"Плей-лист на СУББОТА, 16.05.2015 г. Перец Европа",,,,,,,,,,
"Источник, логотип",Время выхода в эфир,Название передачи,Хронометраж,Таймкод начальный,Таймкод конечный,Номер эфирной кассеты,GPO,Аудит,Тип рекламы,Б/С
Лого ДА,06:00:00:00,ID_PERETZ_NEW_SMI_10,00:00:10:00,00:00:00:00,00:00:10:00,VO-2_155,,,,
Лого ДА,06:00:10:00,"КТО СКАЗАЛ ""МЯУ""? титр2/00:00:00:00/00:00:08:00/P_00.tga",00:08:44:11,02:20:29:11,02:29:13:22,PR_121017010,"GR001
00:00:00:00/00:00:08:00",0+,,00:00:08:00/00:08:36:11
Лого ДА,06:08:54:11,ID_PERETZ_NEW_STONE_5_REG_STR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0019_STR,_STR,,,
Лого ДА,06:08:59:11,Colgate Total  Colgate Total_2015_15,00:00:15:00,00:00:00:00,00:00:15:00,485756,,,КРП,
Лого ДА,06:09:14:11,Parodontax  Fallen Tree Malkron,00:00:25:00,00:00:00:00,00:00:25:00,492939,,,КРП,
Лого ДА,06:09:39:11,Colgate SAN  Colgate SAN_2015_20,00:00:20:00,00:00:00:00,00:00:20:00,493063,,,КРП,
Лого ДА,06:09:59:11,ID_PERETZ_NEW_5_ENR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0030_ENR,_ENR,,,
Лого ДА,06:10:04:11,ИСТОРИЯ С ЕДИНИЦЕЙ титр2/00:00:00:00/00:00:08:00/P_00.tga,00:08:52:15,01:08:00:00,01:16:52:15,PR_121020683,"GR002
00:00:00:00/00:00:08:00",0+,,00:00:08:00/00:08:44:15
Лого ДА,06:18:57:01,ID_PERETZ_NEW_CLAY _REKL_5_STF,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0049_STF,_STF,,,
Лого ДА,06:19:02:01,Deo Men  Black&White Male 15,00:00:15:00,00:00:00:00,00:00:15:00,500623,,,КР,
Лого ДА,06:19:17:01,Nivea Men  Sensitive Shaving,00:00:20:00,00:00:00:00,00:00:20:00,496210,,,КР,
Лого ДА,06:19:37:01,МТС Гугл май  20.04.2015,00:00:30:00,00:00:00:00,00:00:30:00,501023,,,КР,
Лого ДА,06:20:07:01,Fairy  1 Свекровь,00:00:15:00,00:00:00:00,00:00:15:00,483426,,,КР,
Лого ДА,06:20:22:01,Эльдорадо 2015  5m 20 week Tricolor,00:00:15:00,00:00:00:00,00:00:15:00,503054,,,КР,
Лого ДА,06:20:37:01,Renault Sandero  В ритме элементов May 2015,00:00:20:00,00:00:00:00,00:00:20:00,499658,,,КР,
Лого ДА,06:20:57:01,КФС  Лонгер - девушка,00:00:15:00,00:00:00:00,00:00:15:00,500394,,,КР,
Лого ДА,06:21:12:01,Nivea Men  Greetings,00:00:05:00,00:00:00:00,00:00:05:00,497306,,,КР,
Лого ДА,06:21:17:01,Фруктовый сад  Там и здесь/ананас титр1/00:00:11:00/00:00:01:00/PCDA0415.tga,00:00:20:00,00:00:00:00,00:00:20:00,500033,"GR003
00:00:11:00/00:00:01:00",,КР,
Лого ДА,06:21:37:01,Мегафон  Мегафон-Качество,00:00:40:00,00:00:00:00,00:00:40:00,501371,,,КР,
Лого ДА,06:22:17:01,ID_PERETZ_NEW_CET_ZAKR_ENF,00:00:01:00,00:00:00:00,00:00:01:00,PGR_0013_ENF,_ENF,,,
Лого ДА,06:22:18:01,ПЕТУХ И КРАСКИ титр2/00:00:00:00/00:00:08:00/P_00.tga,00:15:08:10,01:34:37:05,01:49:45:15,PR_121014758,"GR004
00:00:00:00/00:00:08:00",0+,,00:00:08:00/00:15:00:10
Лого ДА,06:37:26:11,ID_PERETZ_NEW_STONE_5_REG_STR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0019_STR,_STR,,,
Лого ДА,06:37:31:11,Sensodyne  Востановление и защита,00:00:30:00,00:00:00:00,00:00:30:00,476770,,,КРП,
Лого ДА,06:38:01:11,Colgate SAN  Colgate SAN_2015_20,00:00:20:00,00:00:00:00,00:00:20:00,493063,,,КРП,
Лого ДА,06:38:21:11,Parodontax  Fallen Tree Malkron,00:00:25:00,00:00:00:00,00:00:25:00,492939,,,КРП,
Лого ДА,06:38:46:11,ID_PERETZ_NEW_5_ENR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0030_ENR,_ENR,,,
Лого ДА,06:38:51:11,ТОПТЫЖКА титр2/00:00:00:00/00:00:08:00/P_00.tga,00:09:00:21,00:00:05:01,00:09:05:22,PR_130321_124,"GR005
00:00:00:00/00:00:08:00",0+,,00:00:08:00/00:08:52:21
Лого ДА,06:47:52:07,ID_PERETZ_NEW_METAL_REKL_3_STF,00:00:03:00,00:00:00:00,00:00:03:00,PGR_0050_STF,_STF,,,
Лого ДА,06:47:55:07,Deo Men  Black&White Male 15,00:00:15:00,00:00:00:00,00:00:15:00,500623,,,КР,
Лого ДА,06:48:10:07,Nivea Men  Sensitive Shaving,00:00:20:00,00:00:00:00,00:00:20:00,496210,,,КР,
Лого ДА,06:48:30:07,Эльдорадо 2015  5m 20 week Tricolor,00:00:15:00,00:00:00:00,00:00:15:00,503054,,,КР,
Лого ДА,06:48:45:07,Экзодерил  1 Космонавт,00:00:15:00,00:00:00:00,00:00:15:00,498479,,,КР,
Лого ДА,06:49:00:07,КФС  Лонгер - девушка,00:00:15:00,00:00:00:00,00:00:15:00,500394,,,КР,
Лого ДА,06:49:15:07,Renault Sandero  В ритме элементов May 2015,00:00:30:00,00:00:00:00,00:00:30:00,500532,,,КР,
Лого ДА,06:49:45:07,Nivea Men  Greetings,00:00:05:00,00:00:00:00,00:00:05:00,497306,,,КР,
Лого ДА,06:49:50:07,J7  J7 Фрукты,00:00:15:00,00:00:00:00,00:00:15:00,501325,,,КР,
Лого ДА,06:50:05:07,Samsung  Galaxy S6 edge Кредит,00:00:30:00,00:00:00:00,00:00:30:00,500681,,,КР,
Лого ДА,06:50:35:07,Deo Women  Powder Touch 2015 титр1/00:00:01:00/00:00:01:00/PCDA0415.tga,00:00:20:00,00:00:00:00,00:00:20:00,494017,"GR006
00:00:01:00/00:00:01:00",,КР,
Лого ДА,06:50:55:07,М-Видео  ТВ Samsung 3 нед мая 15 (фед),00:00:30:00,00:00:00:00,00:00:30:00,502664,,,КР,
